Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
India,2015,5,24.7,86,87,80.3
India,2014,30.7,24.1,84,85,40
India,2013,31.1,23.5,82,83,43.6
India,2012,31,23,79,82,53.3
India,2011,30,22.4,79,82,52.8
India,2010,27.7,21.9,76,79,51.4
India,2009,25,21.4,73,74,66
India,2008,19.3,20.9,69,7,65.5
India,2007,15.9,20.4,67,64,65.2
India,2006,13.7,19.9,66,65,64.8
India,2005,12.7,19.5,65,65,64.4
India,2004,12,19,58,63,64
India,2003,11.9,18.6,57,61,63.7
India,2002,11,18.2,58,59,63.3
India,2001,10,17.8,58,59,62.9
India,2000,9.3,17.4,57,58,62.5
