Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Afghanistan,2015,12,19.1,6,65,65
Afghanistan,2014,23,18.6,58,62,59.9
Afghanistan,2013,32,18.1,62,64,53.9
Afghanistan,2012,21,17.6,67,67,59.5
Afghanistan,2011,32,17.2,68,68,59.2
Afghanistan,2010,12,16.7,66,66,58.8
Afghanistan,2009,21,16.2,63,63,58.6
Afghanistan,2008,33,15.7,64,64,58.1
Afghanistan,2007,23,15.2,63,63,57.5
Afghanistan,2006,23,14.7,58,58,57.3
Afghanistan,2005,12,14.2,58,58,57.3
Afghanistan,2004,12,13.8,5,5,57
Afghanistan,2003,12,13.4,41,41,56.7
Afghanistan,2002,21,13,36,36,56.2
Afghanistan,2001,32,12.6,35,33,55.3
Afghanistan,2000,12,12.2,24,24,54.8
Argentina,2015,8.5,23.8,93,94,76.3
Argentina,2014,7.93,23.2,92,94,76.2
Argentina,2013,8.28,22.6,99,94,76
Argentina,2012,8.35,22,99,91,75.9
Argentina,2011,8.11,21.2,93,91,75.7
Argentina,2010,8.15,20.8,95,94,75.5
Argentina,2009,8.33,20.2,97,94,75.6
Argentina,2008,8.41,19.6,94,93,75.4
Argentina,2007,8.16,22.7,92,91,74.8
Argentina,2006,7.75,22.2,92,91,75.2
Argentina,2005,7.53,21.6,95,98,74.9
Argentina,2004,7.63,21,91,98,74.7
Argentina,2003,7.62,20.4,95,96,74.1
Argentina,2002,7.81,19.8,94,93,74.1
Argentina,2001,7.76,19.3,85,83,74
Argentina,2000,7.68,18.7,88,83,74.1
Bangladesh,2015,23,22.3,97,97,51.8
Bangladesh,2014,23,21.7,97,97,54.4
Bangladesh,2013,13,21,96,96,71
Bangladesh,2012,12,20.4,94,94,77
Bangladesh,2011,14,19.8,96,96,73
Bangladesh,2010,22,19.2,94,94,69.9
Bangladesh,2009,19,18.6,97,97,69.5
Bangladesh,2008,23,18,96,96,69.1
Bangladesh,2007,12,17.5,96,94,68.6
Bangladesh,2006,32,21,95,94,54.2
Bangladesh,2005,23,20.5,94,93,67.8
Bangladesh,2004,23,20,88,99,67.3
Bangladesh,2003,23,19.6,9,87,66.8
Bangladesh,2002,23,19.2,83,83,66.3
Bangladesh,2001,23,29,85,85,65.8
Bangladesh,2000,32,27.4,83,82,65.3
Bhutan,2015,23,24.5,98,99,69.8
Bhutan,2014,0.13,23.6,98,99,69.4
Bhutan,2013,0.13,22.7,97,97,69.1
