Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Argentina,2015,8.5,23.8,93,94,76.3
Argentina,2014,7.93,23.2,92,94,76.2
Argentina,2013,8.28,22.6,99,94,76
Argentina,2012,8.35,22,99,91,75.9
Argentina,2011,8.11,21.2,93,91,75.7
Argentina,2010,8.15,20.8,95,94,75.5
Argentina,2009,8.33,20.2,97,94,75.6
Argentina,2008,8.41,19.6,94,93,75.4
Argentina,2007,8.16,22.7,92,91,74.8
Argentina,2006,7.75,22.2,92,91,75.2
Argentina,2005,7.53,21.6,95,98,74.9
Argentina,2004,7.63,21,91,98,74.7
Argentina,2003,7.62,20.4,95,96,74.1
Argentina,2002,7.81,19.8,94,93,74.1
Argentina,2001,7.76,19.3,85,83,74
Argentina,2000,7.68,18.7,88,83,74.1
