Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Bangladesh,2015,23,22.3,97,97,51.8
Bangladesh,2014,23,21.7,97,97,54.4
Bangladesh,2013,13,21,96,96,71
Bangladesh,2012,12,20.4,94,94,77
Bangladesh,2011,14,19.8,96,96,73
Bangladesh,2010,22,19.2,94,94,69.9
Bangladesh,2009,19,18.6,97,97,69.5
Bangladesh,2008,23,18,96,96,69.1
Bangladesh,2007,12,17.5,96,94,68.6
Bangladesh,2006,32,21,95,94,54.2
Bangladesh,2005,23,20.5,94,93,67.8
Bangladesh,2004,23,20,88,99,67.3
Bangladesh,2003,23,19.6,9,87,66.8
Bangladesh,2002,23,19.2,83,83,66.3
Bangladesh,2001,23,29,85,85,65.8
Bangladesh,2000,32,27.4,83,82,65.3
