Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Bhutan,2015,23,24.5,98,99,69.8
Bhutan,2014,0.13,23.6,98,99,69.4
Bhutan,2013,0.13,22.7,97,97,69.1
Bhutan,2012,0.13,21.9,97,97,68.7
Bhutan,2011,2.99,21.1,95,95,68.3
Bhutan,2010,3.64,21.3,92,91,67.9
Bhutan,2009,2.21,19.5,93,93,67.4
Bhutan,2008,2.73,18.8,96,96,67
Bhutan,2007,2.08,18,93,95,66.5
Bhutan,2006,3.77,17.4,96,95,65.8
Bhutan,2005,9.49,16.7,95,95,65
Bhutan,2004,12.48,16.1,9,89,64.2
Bhutan,2003,6.76,15.5,96,95,63.3
Bhutan,2002,3.77,14.9,89,86,62.5
Bhutan,2001,1.82,14.4,88,88,61.7
Bhutan,2000,2.21,13.9,98,92,62
