Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
China,2015,6.7,21,99,99,76.1
China,2014,5.78,23,99,99,75.8
China,2013,5.79,24,99,99,75.6
China,2012,5.74,24,99,99,75.4
China,2011,5.63,22,99,99,75.2
China,2010,5.75,21,99,99,75
China,2009,4.88,18,99,99,74.9
China,2008,4.27,26.5,99,97,74.5
China,2007,3.88,25.7,94,93,74.4
China,2006,3.28,24.9,94,93,74.2
China,2005,2.92,24.1,87,87,73.9
China,2004,3.04,23.4,87,87,73.5
China,2003,2.96,22.6,87,86,73.1
China,2002,2.91,21.9,86,86,72.7
China,2001,2.84,21.2,86,86,72.2
China,2000,3.06,2.5,86,85,71.7
