Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
France,2015,11.3,22.2,98,98,82.4
France,2014,11.5,21.7,98,98,82.2
France,2013,11.1,21.3,99,99,82
France,2012,11.5,20.8,99,99,81.5
France,2011,11.8,23.7,99,99,81.7
France,2010,11.7,24.2,99,99,81.3
France,2009,11.8,19.3,98,98,81.1
France,2008,11.9,18.8,98,98,89
France,2007,12.2,18.3,99,98,89
France,2006,12.4,17.7,99,99,86
France,2005,12.2,17.2,98,98,81
France,2004,13.18,16.7,99,98,82
France,2003,13.49,16.1,96,97,79.3
France,2002,13.78,15.5,97,97,79.2
France,2001,13.89,14.9,98,97,79
France,2000,13.63,14.3,98,97,78.8
