Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Germany,2015,14.3,20,94,95,81
Germany,2014,11.03,19.6,94,95,89
Germany,2013,10.94,14.1,94,95,86
Germany,2012,11.18,17.4,94,95,86
Germany,2011,11.2,14.9,94,95,85
Germany,2010,11.2,17.6,94,95,81
Germany,2009,11.22,17.2,95,96,80
Germany,2008,11.36,16.7,95,96,79.9
Germany,2007,11.5,16.2,95,96,79.8
Germany,2006,11.76,15.7,94,96,79.6
Germany,2005,11.67,15.3,95,96,79.2
Germany,2004,11.83,14.8,96,96,79.1
Germany,2003,11.92,14.3,96,97,78.5
Germany,2002,12.25,13.8,97,93,78.4
Germany,2001,12.46,13.3,96,93,78.3
Germany,2000,12.91,12.8,94,92,78
