Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Japan,2015,6.7,29,99,96,83.7
Japan,2014,3,28.6,99,96,83.5
Japan,2013,7.55,28.2,99,96,83.5
Japan,2012,7.39,27.8,99,97,83.3
Japan,2011,7.39,27.4,96,97,82.5
Japan,2010,6.9,26.9,98,97,83
Japan,2009,7.09,26.4,99,97,83
Japan,2008,7.11,25.9,98,98,82.7
Japan,2007,7.29,25.4,97,98,82.6
Japan,2006,7.49,24.9,95,98,82.4
Japan,2005,7.99,24.4,95,98,82
Japan,2004,7.7,23.8,97,99,82.1
Japan,2003,7.83,23.4,97,97,81.9
Japan,2002,7.87,22.9,89,96,81.8
Japan,2001,8.03,22.5,81,95,81.5
Japan,2000,7.97,22.2,98,85,81.1
