Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Republic of Korea,2015,7.3,24.7,98,98,82.3
Republic of Korea,2014,6.7,24.2,99,99,82
Republic of Korea,2013,9.33,-3.2,99,99,81.7
Republic of Korea,2012,9.56,-3.6,99,99,81.2
Republic of Korea,2011,9.34,-4,98,99,81.1
Republic of Korea,2010,9.23,22.5,95,94,87
Republic of Korea,2009,8.97,22.1,95,94,86
Republic of Korea,2008,9.31,21.6,92,94,83
Republic of Korea,2007,9.05,21.2,91,91,79.8
Republic of Korea,2006,8.83,20.7,98,98,79.4
Republic of Korea,2005,9.03,20.2,96,96,78.7
Republic of Korea,2004,9.18,19.7,9,88,78.2
Republic of Korea,2003,9.66,19.2,94,97,77.6
Republic of Korea,2002,9.55,18.7,99,97,77.1
Republic of Korea,2001,11.45,18.2,99,97,76.7
Republic of Korea,2000,10.33,17.7,99,97,76
