Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Nepal,2015,2,19.1,90,91,86.2
Nepal,2014,1,18.5,92,92,89.6
Nepal,2013,22,18,92,92,53.3
Nepal,2012,21,17.4,90,90,60.9
Nepal,2011,22,16.9,92,92,60.4
Nepal,2010,19,16.4,83,82,68
Nepal,2009,17,15.9,93,89,67.5
Nepal,2008,16,15.4,82,82,67
Nepal,2007,15,14.9,82,82,66.6
Nepal,2006,15,14.4,91,89,66
Nepal,2005,15,13.9,78,75,65.4
Nepal,2004,16,13.4,80,80,64.7
Nepal,2003,15,12.9,76,78,64.3
Nepal,2002,14,12.4,72,72,63.1
Nepal,2001,9,11.9,73,72,73.2
Nepal,2000,8,11.4,74,74,62.5
