Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
New Zealand,2015,8.7,22.5,92,92,81.6
New Zealand,2014,9.07,22.3,93,93,81.5
New Zealand,2013,9.18,22.13333333,92,92,81.3
New Zealand,2012,9.2,21.96666667,93,93,81.1
New Zealand,2011,9.47,21.76666667,95,95,86
New Zealand,2010,9.62,21.6,93,93,89
New Zealand,2009,9.24,21.43333333,92,92,85
New Zealand,2008,9.49,21.26666667,89,89,81
New Zealand,2007,9.19,21.06666667,88,88,81
New Zealand,2006,9.34,20.86666667,89,89,79.9
New Zealand,2005,9.31,20.7,89,89,79.9
New Zealand,2004,9.15,20.5,87,89,79.2
New Zealand,2003,8.91,27,86,9,79.1
New Zealand,2002,9.13,17,84,9,78.7
New Zealand,2001,8.75,19.86666667,82,9,78.5
New Zealand,2000,8.91,19.63333333,82,9,78.6
