Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Pakistan,2015,13,25.4,72,72,66.4
Pakistan,2014,7.2,24.7,72,72,66.2
Pakistan,2013,9.76,23.9,72,72,66
Pakistan,2012,9.76,23.2,72,72,65.7
Pakistan,2011,9.76,22.5,75,74,65.5
Pakistan,2010,9.76,21.9,82,82,65.1
Pakistan,2009,8.32,21.3,7,71,64.8
Pakistan,2008,8.32,2.6,7,62,64.6
Pakistan,2007,8.32,2.1,75,75,64.4
Pakistan,2006,8.32,19.5,77,78,64.2
Pakistan,2005,9.76,18.9,78,77,62.9
Pakistan,2004,11.2,18.4,65,65,63.7
Pakistan,2003,11.2,17.9,69,67,63.5
Pakistan,2002,7.2,17.4,71,68,63.2
Pakistan,2001,7.2,16.9,68,65,63
Pakistan,2000,14.4,16.4,65,62,62.8
