Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Qatar,2015,8.78,19.8,99,99,78.2
Qatar,2014,1.15,19.54285714,99,89,78.1
Qatar,2013,4.8,19.34285714,99,97,77.9
Qatar,2012,4.52,19.14285714,93,92,77.8
Qatar,2011,4.64,19,92,93,77.5
Qatar,2010,4.64,18.85714286,98,97,77.3
Qatar,2009,4.44,18.74285714,98,99,77
Qatar,2008,5.48,18.62857143,98,97,76.8
Qatar,2007,4.96,18.6,97,94,76.7
Qatar,2006,5.12,18.57142857,95,96,76.6
Qatar,2005,4.72,18.6,98,97,76.6
Qatar,2004,4.44,18.57142857,95,96,76.6
Qatar,2003,4,18.48571429,93,92,76.5
Qatar,2002,3.48,18.31428571,96,96,76.4
Qatar,2001,3.04,18.08571429,93,93,76.3
Qatar,2000,2,17.82857143,91,8,76.2
