Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Russian Federation,2015,9.7,21,97,97,75
Russian Federation,2014,10.12,19.96666667,97,97,73
Russian Federation,2013,10.58,19.76666667,98,97,70
Russian Federation,2012,10.99,19.56666667,98,97,69.6
Russian Federation,2011,11.04,19.36666667,97,97,69.4
Russian Federation,2010,11.05,19.16666667,98,97,68.4
Russian Federation,2009,11.21,19,98,98,68.2
Russian Federation,2008,12.04,18.86666667,98,98,67.5
Russian Federation,2007,12.19,18.7,98,98,67.3
Russian Federation,2006,11.79,18.56666667,98,98,66.4
Russian Federation,2005,11.57,18.43333333,98,98,65
Russian Federation,2004,11.5,18.33333333,98,97,64.9
Russian Federation,2003,11.32,18.23333333,97,96,64.6
Russian Federation,2002,10.87,18.16666667,97,97,64.8
Russian Federation,2001,10.47,18.06666667,97,96,65.1
Russian Federation,2000,10.18,18,97,96,65
