Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
South Africa,2015,7.2,17.03333333,75,75,62.9
South Africa,2014,7.38,1.766666667,77,77,62
South Africa,2013,7.34,16.5,73,73,69
South Africa,2012,7.38,16.23333333,65,65,59.2
South Africa,2011,7.38,15.96666667,69,69,58.9
South Africa,2010,7.28,15.73333333,72,72,58
South Africa,2009,7.6,15.46666667,75,76,56.5
South Africa,2008,8.19,15.23333333,77,79,55.3
South Africa,2007,8.48,15,79,82,54.5
South Africa,2006,8.5,14.76666667,79,82,54
South Africa,2005,8.69,14.53333333,75,79,53.8
South Africa,2004,6.96,14.3,73,74,53.7
South Africa,2003,6.93,14.06666667,7,69,54
South Africa,2002,7.04,13.86666667,7,7,54.9
South Africa,2001,7.38,17.9,71,71,56
South Africa,2000,7.3,24.1,71,73,57.3
