Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Saudi Arabia,2015,1.3,22.73333333,97,98,74.5
Saudi Arabia,2014,10.8,22.43333333,98,98,74.4
Saudi Arabia,2013,10.8,22.13333333,98,98,74.3
Saudi Arabia,2012,10.8,21.86666667,98,98,74.1
Saudi Arabia,2011,10.8,21.56666667,98,98,73.9
Saudi Arabia,2010,10.8,21.3,98,98,73.7
Saudi Arabia,2009,10.8,21.03333333,98,98,73.4
Saudi Arabia,2008,10.8,20.8,98,98,73.3
Saudi Arabia,2007,12,20.53333333,96,96,73.2
Saudi Arabia,2006,9.6,21.3,96,96,73.2
Saudi Arabia,2005,6,2.066666667,96,96,73.1
Saudi Arabia,2004,7.2,19.8,96,96,73.1
Saudi Arabia,2003,6,19.5,95,95,73
Saudi Arabia,2002,6,19.23333333,95,95,72.9
Saudi Arabia,2001,6,18.96666667,97,97,72.8
Saudi Arabia,2000,6,18.73333333,95,95,72.6
