Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
Sri Lanka,2015,7.7,23.4,99,99,74.9
Sri Lanka,2014,2.37,22.7,99,99,74.7
Sri Lanka,2013,2.56,21.9,99,99,74.6
Sri Lanka,2012,2.8,21.2,99,99,74.5
Sri Lanka,2011,3.03,18.5,99,99,74.5
Sri Lanka,2010,2.31,19.8,99,99,74.5
Sri Lanka,2009,2.05,19.2,97,97,71.8
Sri Lanka,2008,2.1,18.5,98,98,72.3
Sri Lanka,2007,2.29,17.9,98,98,73.7
Sri Lanka,2006,1.96,17.2,98,98,73.8
Sri Lanka,2005,1.97,16.6,99,99,74.2
Sri Lanka,2004,1.56,16.1,97,97,69.1
Sri Lanka,2003,1.69,15.6,98,99,73.9
Sri Lanka,2002,1.62,15.1,98,98,73.7
Sri Lanka,2001,1.68,14.6,98,98,72.7
Sri Lanka,2000,1.45,14.1,99,99,71.5
