Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
United Kingdom of Great Britain and Northern Ireland,2015,10.66,22.2,96,96,81.2
United Kingdom of Great Britain and Northern Ireland,2014,10.37,22,95,95,81
United Kingdom of Great Britain and Northern Ireland,2013,10.32,21.8,95,95,87
United Kingdom of Great Britain and Northern Ireland,2012,10.42,21.6,95,95,86
United Kingdom of Great Britain and Northern Ireland,2011,10.68,21.4,95,95,86
United Kingdom of Great Britain and Northern Ireland,2010,10.88,21.2,94,94,82
United Kingdom of Great Britain and Northern Ireland,2009,10.79,21.03333333,93,93,81
United Kingdom of Great Britain and Northern Ireland,2008,11.47,20.83333333,92,92,79.6
United Kingdom of Great Britain and Northern Ireland,2007,11.84,20.63333333,92,92,79.5
United Kingdom of Great Britain and Northern Ireland,2006,11.61,20.43333333,92,92,79.3
United Kingdom of Great Britain and Northern Ireland,2005,12.05,21.23333333,91,91,79
United Kingdom of Great Britain and Northern Ireland,2004,12.22,22.03333333,92,92,78.8
United Kingdom of Great Britain and Northern Ireland,2003,11.85,19.83333333,91,91,78.3
United Kingdom of Great Britain and Northern Ireland,2002,11.44,19.6,91,91,78.2
United Kingdom of Great Britain and Northern Ireland,2001,10.91,19.4,91,91,78
United Kingdom of Great Britain and Northern Ireland,2000,10.59,19.16666667,91,91,77.8
