Country,Year,Alcohol, BMI ,Polio,Diphtheria ,Life expectancy 
United States of America,2015,7.6,23.2,93,95,79.3
United States of America,2014,8.82,23.03333333,93,95,79.1
United States of America,2013,8.82,22.86666667,93,94,78.9
United States of America,2012,8.82,22.66666667,93,94,78.8
United States of America,2011,8.67,22.5,94,96,78.7
United States of America,2010,8.55,22.3,93,95,78.7
United States of America,2009,8.71,22.1,93,95,78.5
United States of America,2008,8.74,21.9,94,96,78.2
United States of America,2007,8.74,21.7,93,96,78.1
United States of America,2006,8.63,21.46666667,93,96,77.8
United States of America,2005,8.52,21.26666667,92,96,77.5
United States of America,2004,8.48,21.03333333,92,96,77.5
United States of America,2003,8.4,20.8,91,96,77.2
United States of America,2002,8.33,20.56666667,9,94,77
United States of America,2001,8.25,26.9,89,94,76.9
United States of America,2000,8.21,26.1,9,94,76.8
